Method,LoggingLevel,Log
<org.apache.hadoop.hdfs.web.WebHdfsFileSystem: void close()>,debug,Token cancel failed:  <*> 
<org.apache.hadoop.hdfs.web.WebHdfsFileSystem: org.apache.hadoop.security.token.Token getDelegationToken()>,debug,Using UGI token:  <*> 
<org.apache.hadoop.hdfs.web.WebHdfsFileSystem: org.apache.hadoop.security.token.Token getDelegationToken()>,debug,Fetched new token:  <*> 
"<org.apache.hadoop.hdfs.web.WebHdfsFileSystem: java.net.URL toUrl(org.apache.hadoop.hdfs.web.resources.HttpOpParam$Op,org.apache.hadoop.fs.Path,org.apache.hadoop.hdfs.web.resources.Param[])>",trace,url= <*> 
"<org.apache.hadoop.hdfs.web.WebHdfsFileSystem: java.net.URL getNamenodeURL(java.lang.String,java.lang.String)>",trace,url= <*> 
<org.apache.hadoop.hdfs.web.WebHdfsFileSystem: boolean replaceExpiredDelegationToken()>,debug,Replaced expired token:  <*> 
"<org.apache.hadoop.hdfs.web.WebHdfsFileSystem$AbstractRunner: void shouldRetry(java.io.IOException,int)>",info,"Retrying connect to namenode:  <*> . Already tried  retry  time(s); retry policy is  <*> , delay  <*> ms. "
"<org.apache.hadoop.hdfs.web.WebHdfsFileSystem$AbstractRunner: void shouldRetry(java.io.IOException,int)>",warn,Original exception is 
<org.apache.hadoop.hdfs.web.URLConnectionFactory: org.apache.hadoop.hdfs.web.URLConnectionFactory newDefaultURLConnectionFactory(org.apache.hadoop.conf.Configuration)>,debug,Cannot load customized ssl related configuration. Fallback to system-generic settings.
"<org.apache.hadoop.hdfs.web.URLConnectionFactory: java.net.URLConnection openConnection(java.net.URL,boolean)>",debug,open AuthenticatedURL connection url 
"<org.apache.hadoop.hdfs.web.URLConnectionFactory: java.net.URLConnection openConnection(java.net.URL,boolean)>",debug,open URL connection
<org.apache.hadoop.hdfs.web.TokenAspect: void initDelegationToken(org.apache.hadoop.security.UserGroupInformation)>,debug,Found existing DT for  <*> 
<org.apache.hadoop.hdfs.web.TokenAspect: void ensureTokenInitialized()>,debug,Created new DT for  <*> 
<org.apache.hadoop.hdfs.web.resources.ExceptionHandler: javax.ws.rs.core.Response toResponse(java.lang.Exception)>,trace,GOT EXCEPITION
<org.apache.hadoop.hdfs.web.resources.ExceptionHandler: javax.ws.rs.core.Response toResponse(java.lang.Exception)>,warn,INTERNAL_SERVER_ERROR
"<org.apache.hadoop.hdfs.web.HftpFileSystem: java.net.URL getNamenodeURL(java.lang.String,java.lang.String)>",trace,url= <*> 
<org.apache.hadoop.hdfs.web.HftpFileSystem$2: org.apache.hadoop.security.token.Token run()>,debug,Exception getting delegation token
<org.apache.hadoop.hdfs.web.HftpFileSystem$2: org.apache.hadoop.security.token.Token run()>,debug,Got dt for  <*> ;t.service= <*> 
<org.apache.hadoop.hdfs.web.HftpFileSystem$2: org.apache.hadoop.security.token.Token run()>,warn,"Couldn\'t connect to  <*> , assuming security is disabled "
"<org.apache.hadoop.hdfs.util.MD5FileUtils: void saveMD5File(java.io.File,java.lang.String)>",debug,Saved MD  digestString  to  <*> 
